network_name,seed_method,threshold,seed_size,budget_total,smart_methodno_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,9.0,MCICH_ILP,2959,0,0,15812,2971,10,0,15790,2959,10,8,15794,2974,0,1,15796
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,16.0,MCICH_ILP,13449,0,0,20247,13463,0,0,20233,13449,9,10,20228,14741,0,70,18885
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,18.0,MCICH_ILP,2959,0,0,15812,2981,0,19,15771,2959,14,20,15778,2990,0,1,15780
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,93.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2961,97,94,15619,3106,0,1,15664
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,187.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2960,206,194,15411,3236,0,2,15533
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,281.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2963,297,295,15216,3384,0,2,15385
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,375.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2980,395,382,15014,3539,0,1,15231
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,469.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2987,461,483,14840,3676,3,6,15086
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,563.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,2990,562,571,14648,3833,3,6,14929
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,656.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3002,649,669,14451,3984,3,6,14778
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,750.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3018,732,751,14270,4122,4,6,14639
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,844.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3036,817,814,14104,4264,3,6,14498
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,938.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3057,913,884,13917,4409,3,6,14353
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1032.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3064,1001,987,13719,4542,3,6,14220
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1126.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3077,1079,1076,13539,4731,3,6,14031
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1220.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3102,1170,1163,13336,4901,3,6,13861
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1313.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3128,1231,1236,13176,5054,3,6,13708
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1407.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3145,1296,1310,13020,5291,3,6,13471
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1501.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3159,1370,1393,12849,5448,3,6,13314
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1595.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3188,1425,1470,12688,5661,3,7,13100
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1689.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3214,1488,1537,12532,5828,7,9,12927
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1783.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3247,1562,1610,12352,6059,7,8,12697
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1877.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3275,1634,1668,12194,6253,7,8,12503
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,1970.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3305,1689,1743,12034,6431,6,22,12312
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,2064.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3352,1760,1792,11867,6677,5,7,12082
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,2158.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3387,1822,1856,11706,6871,5,7,11888
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,2252.0,MCICH_ILP,2959,0,0,15812,18751,6,7,7,3407,1884,1925,11555,7085,6,8,11672
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,9.0,MCICH_ILP,4899,0,0,13872,4908,0,0,13863,4899,3,8,13861,4924,0,1,13846
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,18.0,MCICH_ILP,4899,0,0,13872,18747,4,4,16,4900,13,11,13847,4943,0,6,13822
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,93.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4900,87,62,13722,5077,0,4,13690
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,187.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4903,207,149,13512,5233,0,6,13532
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,281.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4903,281,236,13351,5399,0,1,13371
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,375.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4916,323,352,13180,5569,0,4,13198
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,469.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4932,416,419,13004,5746,3,3,13019
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,563.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4932,517,498,12824,5908,3,3,12857
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,656.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4936,613,577,12645,6076,3,2,12690
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,750.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4952,686,651,12482,6269,3,2,12497
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,844.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4964,768,732,12307,6502,3,2,12264
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,938.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4973,835,810,12153,6666,3,2,12100
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1032.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,4988,919,898,11966,6902,3,3,11863
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1126.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5015,978,957,11821,7077,4,5,11685
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1220.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5037,1036,1017,11681,7301,4,1,11465
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1313.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5086,1134,1073,11478,7579,4,7,11181
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1407.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5111,1201,1129,11330,7823,4,7,10937
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1501.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5138,1277,1194,11162,7995,4,6,10766
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1595.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5171,1358,1253,10989,8267,3,12,10489
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1689.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5203,1389,1326,10853,8525,8,7,10231
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1783.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5234,1467,1371,10699,8829,8,5,9929
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1877.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5252,1518,1451,10550,9117,7,2,9645
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,1970.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5312,1547,1495,10417,9313,7,3,9448
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,2064.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5345,1618,1543,10265,9498,7,3,9263
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,2158.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5378,1690,1598,10105,18723,14,2,32
../complex_net_proposal/experiment_networks/astroph.edges,centola,3,20,2252.0,MCICH_ILP,4899,0,0,13872,18751,6,5,9,5400,1798,1651,9922,18723,14,2,32
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,9.0,MCICH_ILP,6635,0,0,12136,18745,4,2,20,6635,4,18,12114,6651,0,1,12119
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,18.0,MCICH_ILP,6635,0,0,12136,18746,3,8,14,6635,22,22,12092,6681,0,2,12088
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,93.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6636,82,107,11946,6841,0,2,11928
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,187.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6638,170,189,11774,7026,0,2,11743
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,281.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6647,259,276,11589,7212,0,1,11558
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,375.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6668,338,336,11429,7400,0,2,11369
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,469.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6681,406,412,11272,7563,3,9,11196
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,563.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6692,447,499,11133,7737,2,6,11026
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,656.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6704,484,582,11001,7924,2,8,10837
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,750.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6708,567,645,10851,8111,10623,1,36
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,844.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6718,650,719,10684,8421,10313,1,36
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,938.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6729,713,800,10529,8613,10121,1,36
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1032.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6748,805,850,10368,8844,9890,1,36
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1126.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6775,895,896,10205,9149,9585,1,36
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1220.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6791,967,947,10066,18673,62,1,35
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1313.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6815,1033,1018,9905,18730,6,1,34
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1407.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6837,1105,1068,9761,18730,6,1,34
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1501.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6873,1155,1115,9628,18730,6,1,34
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1595.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6900,1200,1173,9498,18730,6,1,34
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1689.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6943,1254,1214,9360,18730,8,1,32
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1783.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6964,1332,1287,9188,18733,8,1,29
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1877.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,6989,1363,1380,9039,18734,8,1,28
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,1970.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,7020,1416,1419,8916,18735,12,1,23
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,2064.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,7059,1425,1487,8800,18735,13,1,22
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,33.0,MCICH_ILP,13449,0,0,20247,13533,4,11,20148,13449,19,20,20208,15473,0,51,18172
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,2158.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,7088,1482,1551,8650,18736,13,1,21
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,168.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13449,131,112,20004,18081,6,102,15507
../complex_net_proposal/experiment_networks/astroph.edges,centola,4,20,2252.0,MCICH_ILP,6635,0,0,12136,18751,10,3,7,7125,1541,1580,8525,18736,13,2,20
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,336.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13453,298,239,19706,19830,11,2,13853
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,505.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13456,398,386,19456,20909,8,3,12776
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,673.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13460,505,535,19196,21721,8,6,11961
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,842.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13474,759,649,18814,22599,28,3,11066
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1010.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13495,1036,754,18411,23296,30,13,10357
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1179.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13524,1194,859,18119,24085,18,16,9577
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1347.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13533,1310,979,17874,24980,14,23,8679
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1516.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13565,1469,1112,17550,26110,4,7556,26
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1684.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13586,1518,1337,17255,26870,4,6796,26
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,1853.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13606,1608,1464,17018,27944,5,5724,23
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2021.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13649,1563,1693,16791,33458,18,210,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2190.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13687,1663,1852,16494,33562,14,110,10
../complex_net_proposal/experiment_networks/astroph.edges,centola,2,20,9.0,MCICH_ILP,2959,0,0,15812,2974,0,2,15795,2959,8,10,15794,2974,0,1,15796
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2358.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13729,1878,1921,16168,33647,10,29,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2527.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13787,1953,2001,15955,33648,10,28,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2695.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13834,2091,2077,15694,33663,10,13,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,2864.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13871,2301,2200,15324,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3032.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13941,2391,2300,15064,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3201.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,13987,2510,2448,14751,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3369.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,14016,2579,2550,14551,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3538.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,14057,2674,2655,14310,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3706.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,14107,2744,2755,14090,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,3875.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,14136,2854,2838,13868,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,2,20,4043.0,MCICH_ILP,13449,0,0,20247,33676,4,6,10,14218,2948,2933,13597,33671,9,6,10
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,16.0,MCICH_ILP,18638,0,0,15058,18690,0,14994,12,18638,5,10,15043,19964,0,65,13667
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,33.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18640,21,13,15022,20578,0,26,13092
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,168.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18640,90,96,14870,22681,0,20,10995
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,336.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18641,251,187,14617,23968,0,7,9721
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,505.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18645,378,284,14389,24873,0,8811,12
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,673.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18679,485,406,14126,25904,0,7780,12
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,842.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18687,657,516,13836,26777,0,6907,12
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1010.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18695,809,622,13570,33664,4,20,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1179.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18709,947,720,13320,33665,4,19,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1347.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18741,1009,852,13094,33666,4,18,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1516.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18766,1016,1016,12898,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1684.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18833,1185,1059,12619,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,1853.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18867,1247,1156,12426,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2021.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18911,1298,1268,12219,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2190.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18946,1378,1361,12011,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2358.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,18976,1501,1464,11755,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2527.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,19031,1577,1528,11560,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2695.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,19045,1624,1624,11403,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,2864.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,19108,1794,1649,11145,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,3032.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,19150,1807,1741,10998,33676,4,8,8
../complex_net_proposal/experiment_networks/enron.giant.clean.uel,random_k_core,3,20,3201.0,MCICH_ILP,18638,0,0,15058,33676,4,8,8,19202,1818,1865,10811,33676,4,8,8
